Majority protein IDs	LFQ intensity 10_R1	LFQ intensity 10_R2	LFQ intensity 10_R3	LFQ intensity 11_R1	LFQ intensity 11_R2	LFQ intensity 11_R3	Anotacoes	Unique peptides	Sequence coverage [%]
evm_model_NODE_37_1;CEJ56934.1;OKP11479.1;EPS26638.1	0	0	0	648000	0	0	ATP-sulfurylase PUA-like domain;Adenylyl-sulfate kinase;P-loop containing nucleoside triphosphate hydrolase;PUA-like superfamily;Rossmann-like alpha/beta/alpha sandwich fold;Sulfate adenylyltransferase;Sulphate adenylyltransferase;Sulphate adenylyltransferase catalytic domain;sulfate adenylyltransferase aps-Penicillium chrysogenum; Sulfate adenylyltransferase; AltName: Full=ATP-sulfurylase; AltName: Full=Sulfate adenylate transferase	5	11.5
evm_model_NODE_24_40;CEJ59433.1;KZN89799.1	473470	719870	0	0	0	0	Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;NAD(P)-binding domain superfamily;Alcohol dehydrogenase 1; GroES-like protein; alcohol-dehydrogenase adhA	5	22.3
OKP12320.1;evm_model_NODE_15_216;EPS34964.1;CEJ59914.1;KZN89101.1	0	0	0	1054800	910700	781090	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome beta-type subunit, conserved site;Proteasome subunit alpha 7-like;Proteasome, subunit alpha/beta;proteasome component Pre6, putative; Proteasome subunit alpha type-4	5	30.1
OKO98482.1;KZN86604.1;evm_model_NODE_36_23;EPS26156.1;CEO58372.1	0	0	0	816600	1130700	0	Actin family;Actin, conserved site;Actin/actin-like conserved site;Actin, gamma; actin Act1; actin beta/gamma 1	5	22.7
evm_model_NODE_1_155;OKP00339.1	1592500	2889200	2090200	3944400	5180700	3650000	AA9;Glycoside hydrolase, family 61;endoglucanase, putative; Glycoside hydrolase, family 61; endo-1,4-beta-glucanase	5	36.5
evm_model_NODE_1_571;OKO90908.1	1601900	1780900	1544000	1448200	1015700	900990	Cyclophilin-like domain superfamily;Cyclophilin-type peptidyl-prolyl cis-trans isomerase;Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain;Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site;cyclophilin-like peptidyl prolyl cis-trans isomerase cypA	5	39.1
evm_model_NODE_1_684;OKP14654.1;CEJ57099.1	0	0	0	479350	0	0	GH30_5;Glycoside hydrolase superfamily;Endo-beta-1,6-galactanase; glycoside hydrolase family 30 protein	5	12.4
evm_model_NODE_10_27;OKP13021.1;CEO60349.1;KZN85377.1	0	0	1573200	1265900	0	0	EF-G domain III/V-like;Elongation factor EFG, domain V-like;P-loop containing nucleoside triphosphate hydrolase;Ribosomal protein S5 domain 2-type fold;Ribosomal protein S5 domain 2-type fold, subgroup;Small GTP-binding protein domain;Tr-type G domain, conserved site;Transcription factor, GTP-binding domain;Translation elongation factor EFG/EF2, domain IV;Translation elongation factor EFTu-like, domain 2;Translation protein, beta-barrel domain superfamily;Translation elongation factor EF-2 subunit, putative; P-loop containing nucleoside triphosphate hydrolase protein	5	6.8
evm_model_NODE_10_86;OKP14157.1	0	445450	0	719700	315860	0	Ribonuclease E inhibitor RraA/RraA-like protein;Ribonuclease E inhibitor RraA/RraA-like superfamily;DlpA domain protein; Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase	5	28.4
OKP10774.1;evm_model_NODE_11_325;CEJ58741.1	0	0	0	0	465020	351450	Ureohydrolase;Ureohydrolase domain superfamily;Ureohydrolase, manganese-binding site;agmatinase, putative; arginase family-domain-containing protein; Arginase/deacetylase; Ureohydrolase	5	23.2
OKP10217.1;evm_model_NODE_12_167;CEJ61529.1	303220	0	0	497740	0	444520	Peptidase S53, activation domain;Peptidase S8, subtilisin, Ser-active site;Peptidase S8/S53 domain;Peptidase S8/S53 domain superfamily;Sedolisin domain;Peptidase S8/S53, subtilisin/kexin/sedolisin; Tripeptidyl-peptidase sed2; tripeptidyl peptidase SED3	5	15.3
evm_model_NODE_14_23;CEJ61712.1;OKP01980.1	252140	244220	554530	459530	913950	1065000	Cytidine and deoxycytidylate deaminase domain;Cytidine deaminase, homotetrameric;Cytidine deaminase-like;cytidine deaminase; putative mitochondrial ornithine carrier protein AmcA/Ort1	5	58.5
evm_model_NODE_14_75	0	0	2733800	0	0	0	Aldo/keto reductase;Aldo/keto reductase, conserved site;NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily;NADP-dependent oxidoreductase domain-containing protein; aldehyde reductase (AKR1); Aldo/keto reductase	5	22
evm_model_NODE_15_258;OKP12249.1	0	0	0	0	0	1506500	GH5_4;Carbohydrate binding  X2 domain;Cellulose-binding domain superfamily;Cellulose-binding domain, fungal;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;Immunoglobulin E-set;Immunoglobulin-like fold;Extracellular endoglucanase, putative; glycoside hydrolase family 5 protein; Cellulase	5	13.1
evm_model_NODE_16_259;OKP14423.1;CEJ58781.1;EPS32370.1	0	4793600	3142800	4069700	2789600	2994500	Aldolase-type TIM barrel;Triosephosphate isomerase;Triosephosphate isomerase superfamily;Triosephosphate isomerase, bacterial/eukaryotic;Triosephosphate isomerase	5	24.9
OKO97504.1;evm_model_NODE_17_232;CEJ57302.1	0	720230	0	0	0	0	Inorganic pyrophosphatase;Inorganic pyrophosphatase superfamily;putative inorganic diphosphatase; Inorganic pyrophosphatase; Inorganic pyrophosphatase; AltName: Full=Pyrophosphate phospho-hydrolase	5	17.1
evm_model_NODE_19_179;OKO96455.1	6561600	8209000	5851500	15196000	10755000	13862000	Immunoglobulin E-set;MD-2-related lipid-recognition domain;ML domain, phosphatidylinositol/phosphatidylglycerol transfer protein;Phosphatidylglycerol/phosphatidylinositol transfer protein; Phosphatidylglycerol/phosphatidylinositol transfer protein; Short=PG/PI-TP	5	25.6
evm_model_NODE_19_239	0	286450	0	700980	1030600	396530	AA6;Flavodoxin-like fold;Flavodoxin/nitric oxide synthase;Flavoprotein WrbA-like;Flavoprotein-like superfamily;NADH-quinone oxidoreductase Pst2, putative; minor allergen Alt a 7	5	45.8
evm_model_NODE_2_162;OKO92069.1;CEO59184.1	1250300	1336300	1147800	0	218170	0	FAD/NAD(P)-binding domain;FAD/NAD(P)-binding domain superfamily;FAD/NAD-linked reductase, dimerisation domain superfamily;Glutathione reductase, eukaryote/bacterial;Pyridine nucleotide-disulphide oxidoreductase, class I;Pyridine nucleotide-disulphide oxidoreductase, class I, active site;Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain;glutathione oxidoreductase Glr1, putative; pyridine nucleotide-disulfide oxidoreductase	5	12.9
OKP11139.1;evm_model_NODE_2_191;CEO59156.1	0	841700	680580	0	372260	0	Isopropylmalate dehydrogenase;Isopropylmalate dehydrogenase-like domain;3-isopropylmalate dehydrogenase Leu2A; 3-isopropylmalate dehydrogenase A; Short=3-IPM-DH A; Short=IMDH A	5	16.3
OKO94581.1;evm_model_NODE_2_577	1040600	1412900	1181300	704900	1622800	0	sem anotacao InterPro;hypothetical protein	5	51.2
evm_model_NODE_21_9;OKO95969.1	22099000	20290000	20773000	6676800	4354400	6404200	RlpA-like domain superfamily;hypothetical protein ASPZODRAFT_134893; Allergen Asp f 7	5	20.8
evm_model_NODE_23_208	5738800	2424800	0	4150500	5654600	6050600	GH7;Concanavalin A-like lectin/glucanase domain superfamily;Glycoside hydrolase, family 7;Probable endo-beta-1,4-glucanase celB; Short=Endoglucanase celB; AltName: Full=Carboxymethylcellulase celB; AltName: Full=Cellulase B; glycoside hydrolase family 7 protein	5	21.5
evm_model_NODE_26_133;OKP10911.1	0	0	0	0	934090	0	Peptidase M14, carboxypeptidase A;Putative metallocarboxypeptidase ecm14; putative zinc carboxypeptidase	5	17
evm_model_NODE_26_73	3539000	0	4456100	4945500	3161000	4410700	Nitroreductase;Nitroreductase Frm2/Hbn1-like;Nitroreductase-like;nitroreductase family protein, putative; putative fatty acid repression mutant protein	5	36.4
OKP09421.1;evm_model_NODE_28_112;CEJ62094.1	0	0	0	0	285610	0	Metalloenzyme, LuxS/M16 peptidase-like;Peptidase M16, C-terminal;Peptidase M16, N-terminal;Ubiquinol-cytochrome C reductase complex core protein 2, putative	5	17.1
evm_model_NODE_29_55;OKO96910.1	0	2355400	2120700	0	0	1483000	Glutathione S-transferase Omega/GSH;Glutathione S-transferase, C-terminal domain superfamily;Glutathione S-transferase, C-terminal-like;Glutathione S-transferase, N-terminal;Thioredoxin-like superfamily;Glutathione S-transferase/chloride channel, C-terminal; ubiquitin-activating enzyme E1	5	19.5
evm_model_NODE_3_215	1148300	0	0	0	0	0	GH18;sem anotacao InterPro;periplasmic binding protein-like II; uracil-DNA glycosylase	5	19.1
OKP09717.1;evm_model_NODE_3_412	489120	0	0	0	0	0	Acyl-CoA dehydrogenase, conserved site;Acyl-CoA dehydrogenase-like, C-terminal;Acyl-CoA dehydrogenase/oxidase C-terminal;Acyl-CoA dehydrogenase/oxidase, N-terminal;Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily;Acyl-CoA dehydrogenase/oxidase, N-terminal domain superfamily;Acyl-CoA oxidase/dehydrogenase, central domain;Isovaleryl-CoA dehydrogenase;Acyl-CoA dehydrogenase, N-terminal; isovaleryl-CoA dehydrogenase	5	13.7
evm_model_NODE_3_44;OKO99911.1	0	826740	0	0	0	0	GH93;Sialidase superfamily;glycoside hydrolase family 93 protein; putative BNR repeat protein; BNR/Asp-box repeat protein	5	24.7
evm_model_NODE_35_156;OKP00718.1	0	0	380020	0	0	0	Cyclic nucleotide-binding domain;Cyclic nucleotide-binding, conserved site;Cyclic nucleotide-binding-like;RmlC-like jelly roll fold;cAMP-dependent protein kinase regulatory subunit;cAMP/cGMP-dependent protein kinase; cAMP-dependent protein kinase regulatory subunit PkaR	5	19.2
evm_model_NODE_35_6;OKO98899.1;CEJ56383.1	2824600	2247300	0	0	0	0	Alpha-D-phosphohexomutase superfamily;Alpha-D-phosphohexomutase, C-terminal;Alpha-D-phosphohexomutase, C-terminal domain superfamily;Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III;Alpha-D-phosphohexomutase, alpha/beta/alpha domain I;Alpha-D-phosphohexomutase, alpha/beta/alpha domain II;Alpha-D-phosphohexomutase, alpha/beta/alpha domain III;Alpha-D-phosphohexomutase, conserved site;Phosphoglucomutase PgmA; Phosphoglucomutase, first 3 domain-containing protein; Alpha-D-phosphohexomutase superfamily	5	15.5
evm_model_NODE_36_112;OKO98563.1;CEO58491.1	978320	996900	834430	0	394610	0	Nucleoside phosphorylase domain;Nucleoside phosphorylase superfamily;Purine nucleoside phosphorylase;Purine phosphorylase, family 2, conserved site;PNP/MTAP phosphorylase; Purine nucleoside phosphorylase I, inosine and guanosine-specific	5	20.8
OKP11453.1;evm_model_NODE_37_26;CEJ56961.1	0	0	0	0	278950	0	Alpha/Beta hydrolase fold;Dipeptidylpeptidase IV, N-terminal domain;Dipeptidylpeptidase IV, N-terminal domain superfamily;Peptidase S9, prolyl oligopeptidase, catalytic domain;Probable dipeptidyl-aminopeptidase B; Pheromone maturation dipeptidyl aminopeptidase DapB	5	7.4
evm_model_NODE_4_117;OKP11033.1	0	0	504440	671750	0	489350	Alpha/Beta hydrolase fold;Dienelactone hydrolase;related to dienelactone hydrolase family protein; alpha/beta-hydrolase	5	32.9
evm_model_NODE_42_65	0	0	0	232190	0	0	GH5_5;Cellulose-binding domain superfamily;Cellulose-binding domain, fungal;Glycoside hydrolase superfamily;Glycoside hydrolase, family 5;endoglucanase, putative; cellulase, putative; Glycoside hydrolase, superfamily	5	19.8
evm_model_NODE_44_12;OKP11624.1;CEJ61957.1	0	0	0	0	900920	0	Isocitrate lyase/phosphorylmutase, conserved site;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;putative carboxyphosphonoenolpyruvate phosphonomutase; Pyruvate/Phosphoenolpyruvate kinase; 2,3-Dimethylmalate lyase	5	22.7
evm_model_NODE_44_59	741930	0	0	0	0	495120	AA7;Berberine/berberine-like;FAD linked oxidase, N-terminal;FAD-binding, type 2;FAD-binding, type 2-like superfamily;FAD linked oxidase, N-terminal; glucooligosaccharide oxidase; 6-hydroxy-D-nicotine oxidase	5	28.7
evm_model_NODE_46_13	27164000	11743000	18702000	19593000	13688000	18220000	Cerato-platanin;RlpA-like domain superfamily;Cerato-platanin; allergenic cerato-platanin Asp F13	5	60.8
evm_model_NODE_5_135;OKO93960.1	0	0	1065500	0	0	0	ArgE/DapE/ACY1/CPG2/YscS, conserved site;Bacterial exopeptidase dimerisation domain;Peptidase M20;Peptidase M20, dimerisation domain;Peptidase M20; Probable carboxypeptidase AFLA_037450; AltName: Full=Peptidase M20 domain-containing protein AFLA_037450; acetylornithine deacetylase, putative	5	16.6
evm_model_NODE_5_138;CEJ54507.1;OKO93957.1;EPS27603.1	4289100	6157600	12656000	1352500	3518400	3508800	Enolase;Enolase, C-terminal TIM barrel domain;Enolase, N-terminal;Enolase, conserved site;Enolase-like superfamily;Enolase-like, C-terminal domain superfamily;Enolase-like, N-terminal;Enolase; AltName: Full=2-phospho-D-glycerate hydro-lyase; AltName: Full=2-phosphoglycerate dehydratase; enolase/allergen Asp F 22	5	46.6
OKP08587.1;evm_model_NODE_5_81;CEJ54553.1	0	0	0	0	1782200	0	Nucleophile aminohydrolases, N-terminal;Proteasome B-type subunit;Proteasome subunit beta 1;Proteasome, subunit alpha/beta;putative proteasome component Prs3; Proteasome B-type subunit; putative proteasome core component, beta 6 subunit; N-terminal nucleophile aminohydrolase	5	31.9
OKP15058.1;evm_model_NODE_52_47;CEJ61200.1	0	0	0	0	0	836260	Class II aldolase/adducin N-terminal;Class II aldolase/adducin N-terminal domain superfamily;class II aldolase/adducin domain protein; arad-like aldolase/epimerase	5	26.2
evm_model_NODE_6_136;OKP11169.1	0	0	0	1108500	991320	975230	GH55;Pectate lyase superfamily protein;Pectin lyase fold;Pectin lyase fold/virulence factor;Exo-beta-1,3-glucanase, putative; glycoside hydrolase family 55 protein	5	12.2
evm_model_NODE_6_244;OKP11283.1;CEO59901.1	0	0	0	0	156900	0	GTP cyclohydrolase 1 type 2/Nif3;GTP cyclohydrolase 1 type 2/Nif3 superfamily;NGG1p interacting factor 3, NIF3	5	23
evm_model_NODE_63_35;OKP13427.1	3041700	2625500	3239500	1799300	1495000	2762300	Tyrosinase copper-binding domain;Uncharacterised domain, di-copper centre;tyrosinase central domain protein; putative domain, di-copper centre	5	20.8
OKO96972.1;evm_model_NODE_7_8	0	0	0	0	773660	495360	HpcH/HpaI aldolase/citrate lyase domain;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	5	32.8
OKP07448.1;evm_model_NODE_8_203;CEJ57739.1	0	0	3392600	0	0	0	Acetyl-CoA hydrolase/transferase;Acetyl-CoA hydrolase/transferase, C-terminal domain superfamily;NagB/RpiA transferase-like;putative acetyl-CoA hydrolase Ach1	5	18.1
OKP07494.1;evm_model_NODE_8_239;CEJ57773.1;EPS31521.1;KZN84669.1	0	0	0	0	0	198180	GT4;ATP synthase subunit alpha, N-terminal domain-like superfamily;ATP synthase, F1 complex, alpha subunit;ATP synthase, alpha subunit, C-terminal;ATP synthase, alpha subunit, C-terminal domain superfamily;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain;ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain superfamily;ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain;ATPase, alpha/beta subunit, nucleotide-binding domain, active site;P-loop containing nucleoside triphosphate hydrolase;ATP synthase alpha chain, mitochondrial precursor; ATP synthase F1, alpha subunit	5	11.4
evm_model_NODE_9_175;OKO98239.1;CEO60616.1	0	701300	0	0	0	0	GT30;6-phosphogluconate dehydrogenase;6-phosphogluconate dehydrogenase, C-terminal;6-phosphogluconate dehydrogenase, NADP-binding;6-phosphogluconate dehydrogenase, decarboxylating;6-phosphogluconate dehydrogenase, domain 2;6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily;6-phosphogluconate-binding site;NAD(P)-binding domain superfamily;Fibritin/6-phosphogluconate dehydrogenase, C-terminal extension; decarboxylating 6-phosphogluconate dehydrogenase; phosphogluconate dehydrogenase (decarboxylating) gnd1	5	14.5
OKP13153.1;evm_model_NODE_9_303	0	1876700	0	2126500	2190000	2052700	Ketopantoate hydroxymethyltransferase;Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily;3-methyl-2-oxobutanoate hydroxymethyltransferase PanB; ketopantoate hydroxymethyltransferase	5	23.6
OKO93905.1;KZN92557.1;evm_model_NODE_5_190;EPS27652.1;CEJ54455.1	4643300	0	0	0	0	0	P-loop containing nucleoside triphosphate hydrolase;Tr-type G domain, conserved site;Transcription factor, GTP-binding domain;Translation elongation factor EF1A, eukaryotic/archaeal;Translation elongation factor EF1A/initiation factor IF2gamma, C-terminal;Translation elongation factor EFTu-like, domain 2;Translation elongation factor EFTu/EF1A, C-terminal;Translation protein, beta-barrel domain superfamily;Elongation factor 1-alpha; translation elongation factor EF-1 alpha subunit	4	11.3
KZN91296.1;EPS27533.1;CEJ54577.1;evm_model_NODE_5_56;OKO91573.1	1375600	0	1461600	0	0	616280	EF-Hand 1, calcium-binding site;EF-hand domain;EF-hand domain pair;putative calmodulin protein; EF-hand; translation elongation factor EF1B gamma; regulatory protein calmodulin	4	38.3
EPS28814.1;CEJ59271.1;evm_model_NODE_4_363;OKO95517.1	0	0	0	0	497570	0	Chaperone DnaK;Heat shock protein 70 family;Heat shock protein 70, conserved site;Heat shock protein 70kD, C-terminal domain superfamily;Heat shock protein 70kD, peptide-binding domain superfamily;heat shock protein 70 (hsp70); Mitochondrial Hsp70 chaperone (Ssc70), putative	4	8.2
CEO58805.1;OKP00210.1;evm_model_NODE_2_551;EPS25704.1	0	0	0	606520	1243800	0	Probable phosphoketolase;Thiamin diphosphate-binding fold;Transketolase C-terminal/Pyruvate-ferredoxin oxidoreductase domain II;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, C-terminal;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, N-terminal;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, conserved site;Xylulose 5-phosphate/Fructose 6-phosphate phosphoketolase, N-terminal	4	5.9
evm_model_NODE_32_131;CEO59479.1;EPS25180.1	0	0	0	0	401760	0	Histidine phosphatase superfamily;Histidine phosphatase superfamily, clade-2;Histidine phosphatase superfamily, clade-2; histidine acid phosphatase; phosphoglycerate mutase-like protein	4	17.9
OKP14838.1;evm_model_NODE_1_479;CEJ55805.1	639300	1004300	1070200	0	0	0	Catechol dioxygenase, N-terminal;Intradiol ring-cleavage dioxygenase, C-terminal;Intradiol ring-cleavage dioxygenase, core;Catechol dioxygenase, N-terminal; aromatic compound dioxygenase	4	19.7
evm_model_NODE_1_91;OKO98989.1	0	342140	0	0	0	0	Metallopeptidase, catalytic domain superfamily;Peptidase M13;Peptidase M13, C-terminal domain;Peptidase M13, N-terminal domain;endothelin-converting enzym; endothelin-converting enzyme; Peptidase M13, neprilysin	4	8
evm_model_NODE_10_262;OKP12734.1	2223100	1537800	0	0	0	0	Aldo/keto reductase;Aldo/keto reductase, conserved site;NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily;Aldo/keto reductase; glycerol dehydrogenase (GldB), putative	4	22.5
evm_model_NODE_13_11;OKO94533.1;EPS25652.1;CEO58746.1	0	1093800	0	0	0	1743900	Nucleophile aminohydrolases, N-terminal;Peptidase T1A, proteasome beta-subunit;Proteasome B-type subunit;Proteasome beta-type subunit, conserved site;Proteasome subunit beta Pre3;Proteasome, subunit alpha/beta;putative proteasome core beta subunit; proteasome component PRE3	4	23.6
evm_model_NODE_13_63;OKO94478.1	0	0	0	440140	0	0	GH43_29;Carbohydrate binding module family 6;Cellulose binding, type IV;Galactose-binding-like domain superfamily;Glycoside hydrolase, family 43;Glycosyl hydrolase, five-bladed beta-propellor domain superfamily;carbohydrate-binding module family 6 protein; endo-1,4-beta-xylanase D precursor	4	11.3
evm_model_NODE_15_236	1120700	1585300	971960	4030800	3782900	3186400		4	11.9
OKP12283.1;evm_model_NODE_15_237;CEJ59888.1	0	0	248300	0	0	0	Cleavage/polyadenylation specificity factor subunit 5;cleavage and polyadenylation specific factor 5; cleavage and polyadenylation specificity factor subunit 5	4	19.3
evm_model_NODE_16_179;OKP12642.1;CEJ58854.1	392650	630850	506310	1127700	859080	731300	PL1_4;Pectate lyase;Pectin lyase fold;Pectin lyase fold/virulence factor;Probable pectin lyase A; Short=PLA; polysaccharide lyase family 1 protein	4	27.1
OKP12636.1;evm_model_NODE_16_184;EPS32304.1;CEJ58849.1	0	261360	0	0	0	0	2Fe-2S ferredoxin, iron-sulphur binding site;2Fe-2S ferredoxin-type iron-sulfur binding domain;4Fe-4S ferredoxin, iron-sulphur binding, conserved site;4Fe-4S ferredoxin-type, iron-sulphur binding domain;Alpha-helical ferredoxin;Beta-grasp domain superfamily;Succinate dehydogenase/fumarate reductase N-terminal;Succinate dehydrogenase/fumarate reductase iron-sulphur protein;putative iron-sulfur protein subunit of succinate dehydrogenase Sdh2	4	16.6
evm_model_NODE_2_210;CEO59133.1	559980000	682850000	748210000	588950000	581380000	612610000	sem anotacao InterPro;hypothetical protein	4	80.6
evm_model_NODE_2_213;OKP10420.1	0	0	0	0	950540	969440	Alkaline phosphatase-like, alpha/beta/alpha;Phosphoesterase;non-hemolytic phospholipase C precursor; Phosphoesterase	4	9.3
OKP10441.1;evm_model_NODE_2_236;CEO59109.1;EPS25542.1	805660	653360	0	0	325380	0	GH36;Alcohol dehydrogenase, C-terminal;GroES-like superfamily;NAD(P)-binding domain superfamily;Polyketide synthase, enoylreductase domain;oxidoreductase, zinc-binding dehydrogenase family, putative; NADP-dependent leukotriene B4 12-hydroxydehydrogenase	4	13.4
evm_model_NODE_2_565;OKO94594.1;EPS25689.1;CEO58791.1	1491300	2104900	2250000	886020	1294600	736590	Elongation factor 1 beta central acidic region, eukaryote;Glutathione S-transferase, C-terminal;Translation elongation factor EF1B, beta/delta chains, conserved site;Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain;Translation elongation factor EF1B/ribosomal protein S6;Translation elongation factor eEF-1beta-like superfamily;elongation factor 1-beta; translation elongation factor 1 subunit beta	4	32
evm_model_NODE_2_60;OKP06348.1	536660	488630	485580	0	0	0	GH35;Beta-galactosidase jelly roll domain;Beta-galactosidase, domain 2;Beta-galactosidase, domain 2 superfamily;Beta-galactosidase, domain 3;Beta-galactosidase, domain 3 superfamily;Galactose-binding-like domain superfamily;Glycoside hydrolase 35, catalytic domain;Glycoside hydrolase superfamily;Glycoside hydrolase, family 35;Glycoside hydrolase, family 35, conserved site;Probable beta-galactosidase A; AltName: Full=Lactase A; Glycoside hydrolase, family 35	4	8.7
evm_model_NODE_2_65	0	683990	0	0	349830	0	Protein of unknown function DUF2990;Protein of unknown function DUF3455;malate dehydrogenase; putative fungal protein	4	18.3
OKP13529.1;evm_model_NODE_22_131;CEJ59591.1;EPS28541.1	0	0	0	0	223880	0	Citrate synthase;Citrate synthase active site;Citrate synthase superfamily;Citrate synthase-like, large alpha subdomain;Citrate synthase-like, small alpha subdomain;Citrate synthase-like, core; 2-methylcitrate synthase, mitochondrial; Short=Methylcitrate synthase; AltName: Full=(2S,3S)-2-methylcitrate synthase; AltName: Full=Citrate synthase 2	4	11.4
evm_model_NODE_23_174	0	0	0	1152900	0	0	Amine oxidase;FAD/NAD(P)-binding domain superfamily;Flavin amine oxidase;flavin-containing amine oxidase	4	10.5
evm_model_NODE_30_147;OKO97313.1	21167000	39101000	15961000	19066000	21939000	13977000	sem anotacao InterPro;hypothetical protein	4	56.1
evm_model_NODE_32_147;CEO59493.1;OKO97777.1;EPS25167.1	0	602710	0	0	0	0	Dihydroorotase homodimeric type;Dihydroorotase, conserved site;Metal-dependent hydrolase;Dihydroorotase homodimeric type; dihydroorotase Ura2; Metallo-dependent hydrolase	4	13.5
OKO98621.1;evm_model_NODE_34_60	0	110420	116270	505370	355180	224620	Protein of unknown function DUF1349;hypothetical protein	4	33.7
evm_model_NODE_37_23	3417800	3980800	3386400	3967600	4148600	2521400	sem anotacao InterPro;extracellular serine-rich protein	4	25.6
OKP11099.1;evm_model_NODE_39_72;CEJ59808.1	7345400	0	6860600	0	0	0	Peroxiredoxin-5-like;Redoxin;Thioredoxin domain;Thioredoxin-like superfamily;putative peroxiredoxin pmp20; Allergen, putative; hypothetical protein ASPZODRAFT_134523	4	33.7
evm_model_NODE_41_36;OKP03814.1	0	1108600	0	0	0	0	Alpha/Beta hydrolase fold;Alpha/beta hydrolase fold-1;Epoxide hydrolase-like;putative Epoxide hydrolase; alpha/beta-hydrolase	4	13.9
evm_model_NODE_41_45;OKP03826.1	0	236580	0	0	0	0	NTF2-like domain superfamily;hypothetical protein	4	17.6
evm_model_NODE_43_53;OKO89669.1	1997600	1166400	0	0	0	0		4	29.9
evm_model_NODE_44_15	0	0	0	0	121430	0	GH20;Beta-hexosaminidase;Beta-hexosaminidase-like, domain 2;Glycoside hydrolase family 20, catalytic domain;Glycoside hydrolase superfamily;glycoside hydrolase; Beta-hexosaminidase subunit alpha/beta	4	10.9
evm_model_NODE_45_48;CEO61135.1;EPS34092.1;OKP02341.1	327890	0	440070	0	0	0	SKP1/BTB/POZ domain superfamily;Dipeptidyl-peptidase 3; Dipeptidyl-peptidase III; peptidase family M49-domain-containing protein	4	4.3
OKO93628.1;evm_model_NODE_5_439;CEJ54208.1	0	0	0	0	83585	0	Conserved hypothetical protein CHP03214, putative allantoin-urate catabolism protein;Cupin 2, conserved barrel;Domain of unknown function DUF861, cupin-3;RmlC-like cupin domain superfamily;RmlC-like jelly roll fold;allantoin catabolism protein	4	20.9
OKP08597.1;evm_model_NODE_5_72;CEJ54562.1;KZN90000.1	0	0	0	0	1058400	0	Nucleophile aminohydrolases, N-terminal;Proteasome alpha-subunit, N-terminal domain;Proteasome alpha-type subunit;Proteasome subunit alpha 3;Proteasome, subunit alpha/beta;Proteasome A-type subunit; Proteasome subunit alpha type 3, putative; 20S proteasome subunit alpha 7	4	20.5
evm_model_NODE_51_8;OKP03362.1;CEJ61365.1	0	0	1133500	0	0	0	Hydroxyacylglutathione hydrolase, C-terminal domain;Hydroxyacylglutathione hydrolase, MBL domain;Metallo-beta-lactamase;Ribonuclease Z/Hydroxyacylglutathione hydrolase-like;hydroxyacylglutathione hydrolase; glyoxylase; Metallo-hydrolase/oxidoreductase	4	22.6
OKP15055.1;evm_model_NODE_52_44;CEJ61197.1	0	0	0	0	282200	0	Copper amine oxidase;Copper amine oxidase, N-terminal;Copper amine oxidase, N3-terminal;Copper amine oxidase, catalytic domain;Copper amine oxidase, catalytic domain superfamily;Copper amine oxidase, N2-terminal; Primary amine oxidase	4	6.7
evm_model_NODE_55_12;OKP13364.1	0	0	0	0	967270	0	GH125;Metal-independent alpha-mannosidase;Six-hairpin glycosidase superfamily;Six-hairpin glycosidase-like superfamily;DUF1237 domain protein; glycoside hydrolase family 125 protein; Meiotically up-regulated gene 157 protein	4	15.7
evm_model_NODE_57_7	0	5188400	0	0	0	0	Alpha/Beta hydrolase fold;Peptidase S10, serine carboxypeptidase;Serine carboxypeptidase, serine active site;carboxypeptidase S1, putative; related to PRC1-carboxypeptidase y, serine-type protease; Peptidase S10, serine carboxypeptidase; alpha/beta-hydrolase	4	9.7
